,id,x_pos,y_pos,x_yaw,y_yaw
113,18,-9.684999655286504,0.7554810390611383,-0.9999964959721068,-0.0026472709548235
114,21,-5.833739138315732,34.8174342130999,0.9999955735884164,-0.0029753661244053
115,6,23.944379881799765,0.026044781256189,0.9999943370598589,0.0033653897565567
116,12,36.486005590657655,7.819714134853005,0.9999998872083744,-0.0004749560384453
117,5,8.598650051330555,-21.61657313509707,-0.9999996759797812,-0.00080500952346
118,7,-15.99835803926837,7.253456058232592,-0.9999987785472332,0.0015629792199406
119,2,35.88441183438401,3.663791257465801,0.9999480314116644,-0.0101948259395271
121,3,7.708914935902825,-14.406815397264904,0.9999967291737544,0.0025576633463495
127,14,8.399589729566497,15.867515737165093,-0.999994502784732,0.0033157804988721
128,12,36.59057583037845,7.816545373703479,0.999997856362416,-0.002070572522893
130,10,46.90711212331223,-0.2972099492280106,-0.9999976311072358,-0.0021766441869738
131,8,-8.581552562699997,28.59601651543953,0.9999999022422726,0.0004421712847805
132,7,-16.078535381312314,7.262123019157064,-0.9999814936989614,0.006083770179262
133,4,37.0695198014575,13.945414520569006,-0.9999292186829654,-0.0118977991273366
134,18,-9.76924377430432,0.7455984210411352,-0.9999726459713216,-0.0073964389481464
135,6,24.04784445043665,0.0346752493617312,0.9999727068315922,0.0073882062707126
136,1,-24.81269285291033,7.952644335335784,0.9999856313414848,0.0053607005673119
137,5,8.512690989954223,-21.619483649336143,-0.999997314287154,-0.0023176320844285
138,11,-25.08308726623713,3.733004572220696,0.999790182478675,0.0204839209932521
139,2,35.997842246686446,3.635932866266079,0.999693867718883,-0.0247420865179239
140,21,-5.870991929714037,34.864357921227175,0.9999705684128471,-0.0076721775323126
143,3,7.756825883095988,-14.364188197265804,0.999961670170978,0.0087554662279264
149,18,-9.84553383392501,0.7379843829158347,-0.9999209927393558,-0.0125701344122155
150,4,36.99028691755488,13.932619493701637,-0.9998254255689678,-0.0186847099477746
151,14,8.307921749042979,15.876869093305125,-0.9999646720482226,0.0084056323670822
153,12,36.71208762499933,7.812863233183817,0.9999862539720268,-0.0052432687317581
154,10,46.81482828385308,-0.2944949843563599,-0.9999999580467028,-0.0002896663472785
155,6,24.15715195856841,0.043752120660065,0.9998910819516076,0.0147588696601017
156,7,-16.14567544723952,7.267283131997261,-0.9999509463045704,0.0099047960400101
157,5,8.438977884922469,-21.620888142324763,-0.9999945593665602,-0.0032986720478102
158,1,-24.79925784451711,8.030513043936855,0.9999393929680924,0.0110095590557767
159,11,-25.044293175648555,3.79298328340156,0.9991839961619384,0.0403898726645603
160,8,-8.595222216971004,28.65720318721564,0.9999988950503342,-0.0014865726052178
161,2,36.11385326489525,3.605073193370844,0.9986363902905602,-0.0522049804850063
162,21,-5.920202390185023,34.91061803077783,-0.9998778101789644,0.0156321691303221
164,3,7.813651265272164,-14.323890470949602,0.999799040008514,0.0200469348792739
167,18,-9.918022691946591,0.7327648482216176,-0.9998586551626316,-0.0168127837187631
171,12,36.83458952245068,7.807624064047026,0.9999302157436326,-0.01181370572227
172,7,-16.21384707077729,7.27641050085086,-0.9998252029793124,0.0186966170035364
173,4,36.88904709022509,13.928984041770132,-0.999796752662148,-0.0201606886346598
174,6,24.27072797327637,0.051670770375299,0.9997208312788448,0.0236275158900697
176,8,-8.616210725461773,28.710357005390613,0.999982681296367,-0.005885329840247
177,10,46.69779999632383,-0.2931900158770715,-0.99999941610477,0.0010806433819449
178,1,-24.782788727024,8.11029443576701,0.99977144489741,0.021378914091806
179,11,-25.007659818059512,3.853095927556691,0.9973323261698794,0.0729947338962015
180,2,36.23937784272276,3.568077887931036,0.9952254920555632,-0.0976023563381651
181,14,8.195242865376963,15.887692435183506,-0.9998601887277664,0.0167213335974022
182,3,7.888119020334803,-14.329031692046728,0.999820525003284,0.0189451255513827
183,5,8.357495588952236,-21.62337145378322,-0.9999843998769856,-0.0055856962560698
184,21,-5.937365250069052,35.0078685005497,-0.999223804416684,0.0393927491684486
191,18,-10.02019791487329,0.723881526661569,-0.9996667285067208,-0.0258153426603297
192,12,36.96633373772016,7.806282209639711,0.9999228151354902,-0.0124243217728918
193,4,36.764312207666165,13.922892519348483,-0.999699787973984,-0.0245017126905713
194,10,46.55670209985016,-0.2887460446816616,-0.9999751073448888,0.0070558267111775
195,6,24.40180146621941,0.0617086466302494,0.9993138818450928,0.03703735346501
196,11,-24.97066236225565,3.915683823101607,0.9924077543795417,0.1229912559792586
197,2,36.3790520131921,3.5265153540167,0.9881140439481956,-0.1537225948009706
199,8,-8.640878236345777,28.76794418179599,0.9998722435343584,-0.0159842613082005
200,7,-16.29956385468624,7.2806444475148195,-0.9997414898518254,0.0227366107600149
201,14,8.07046172385851,15.896377861297708,-0.9996736673917922,0.0255452289761593
202,1,-24.763120931971702,8.194283522699791,0.999211276692386,0.039709249939682
203,5,8.259078668814777,-21.620253952061997,-0.9999995527418286,-0.000945788635353
205,3,7.972956761768089,-14.282792024056953,0.9985778069939046,0.0533138197772788
206,21,-5.951572889327505,35.09559209921588,-0.9977130900993229,0.0675913444492741
213,18,-10.15356882634458,0.7124878905746689,-0.9992279147804262,-0.0392883484453273
214,12,37.0941538669878,7.807982240863127,0.9999753936027236,-0.0070151399899153
215,10,46.384735932024384,-0.283095953175472,-0.9998724307101764,0.0159725485043404
217,2,36.52056160076049,3.464830039884025,0.970929196484329,-0.2393668636513738
218,11,-24.938686934494392,3.989691987687584,0.979240097061185,0.2027038043737734
219,6,24.540891183793143,0.0791788955472411,0.99798920343183,0.0633841449693964
220,4,36.60834365356819,13.909604886590412,-0.9991676760526584,-0.0407916061405976
221,1,-24.74228445663757,8.278625976887366,0.997642167387714,0.0686302109128644
222,14,7.9202451542242915,15.902448492924671,-0.9995208945277876,0.030951274648568
223,7,-16.413955903469258,7.2787689210492035,-0.999864382800746,0.0164686370560305
224,5,8.129954587417368,-21.616900356968564,-0.9999868367203107,0.0051309244884785
225,8,-8.659407701300973,28.826756270302223,0.9993975178202646,-0.0347073677292552
228,3,8.042626298688468,-14.209426303332702,0.9918084194337726,0.1277343303121044
229,21,-5.972883577599054,35.156903631226655,-0.995744642170382,0.0921553448747167
237,11,-24.90539530519652,4.06729583236476,0.9527293930096188,0.303820183160243
239,6,24.67181472055372,0.1011785306365459,0.9955811249083594,0.0939053977479772
240,10,46.18509026384457,-0.2845276488188221,-0.9999555489988756,0.0094286810507875
241,2,36.666043789126775,3.396116695405251,0.9486851194372018,-0.3162223018043194
242,14,7.7477987466556595,15.911638682948409,-0.9991617223538948,0.0409371784909354
243,7,-16.55006249942325,7.277076301289161,-0.9999603009988312,0.0089104672339184
244,4,36.42902033291324,13.88968093655361,-0.9976167876052908,-0.0689981527875945
